AttributeID	AttributeName
AC46C3DF-272D-412D-B107-2FD2D90DBB3B	Poster Height
A66555D2-B483-44D1-A62A-5C4A1245A52B	Poster Material
5BC527D5-FA38-4905-9B16-883DED9003F6	Poster Width
767C903E-7E43-4EC6-82B5-0159DF84DAEC	Language
48A1F8A7-2879-47DF-AD1A-34FDACD384FE	Reverse Message
04BDF3AF-137A-4652-993F-74C8E210C560	Width
82756A02-34F2-48EA-B043-9D70139C0F86	Message
DF39856A-3AA5-43F6-B9A6-A93E3766FF02	Material
61BF5056-C155-4135-B542-AB1389C2C82B	Height
D80E8B05-A6EA-4A06-BF17-4FC762A4053F	Bag Color
292851EE-4141-4F74-A87A-625839C1AE5E	Bag Depth
8226B2E9-F34D-4AE7-A677-82559F2B5463	Bag Size
8FAD6099-87D4-4C3A-A8BB-87E74E8211AD	Bag Height
C5A5308B-7725-4DD1-B70D-955F5EC2F8BC	Bag Width
E6E6AAA5-07E9-4EE4-9CC1-EACE79E35E48	Zipper Material
681234A7-59E0-4467-9845-EBAFBC78BDF5	Bag Material
C0D5BB53-98D7-4A4D-8F8A-03B8E69049FD	Electrical Lockouts Included
60E23D4A-E728-4B53-B010-0572B2D61CBB	Tags Included
4FB7C94A-BBE5-40E7-9FA7-0C5F9B480D6E	Device Types in Kit
85AEB60C-3F8A-440F-8A9E-0F2EE9DCD4B6	Valve Lockouts Included
7E6A1468-0449-421A-8F1E-2756A686DDCA	Kit Size
34858B22-47D0-4134-9D64-3E66873D5956	Padlocks Included
2E4151C0-621D-4230-8E20-A7E3963B92A4	Accessories Included
01A32359-CBF9-4822-BB4E-AFC871A8C9BB	Manuals & Training Materials Included
681234A7-59E0-4467-9845-EBAFBC78BDF5	Bag Material
697D87BE-7E21-44FA-9BD3-4BA5B86A3D27	Cable & Chain Lockouts Included
D80E8B05-A6EA-4A06-BF17-4FC762A4053F	Bag Color
292851EE-4141-4F74-A87A-625839C1AE5E	Bag Depth
8FAD6099-87D4-4C3A-A8BB-87E74E8211AD	Bag Height
0B0F0BF4-9BBD-46DA-BB6C-8AA5A465FF72	Hasps Included
C5A5308B-7725-4DD1-B70D-955F5EC2F8BC	Bag Width
767C903E-7E43-4EC6-82B5-0159DF84DAEC	Language
1953747B-2F4B-4032-9ED8-10D56F39D3D5	Video Length
